id,chinese,pinyin,english,base_herb,processing,botanical_source,net_content_g,extract_ratio,raw_per_g,raw_per_bag,categories,tcm_functions,contraindications,data_source
302,绿豆,Lǜ Dòu,Mung Bean,绿豆,,,2,5:1,5,10,heat|toxin|summerheat|thirst|detox,"Clear Heat, resolve toxin, release summerheat and promote urination",Spleen and Stomach Cold deficiency; may reduce the effect of warming herbs,derived
303,络石藤,Luò Shí Téng,Trachelospermum Stem,络石藤,,,1.09,5.5:1,5.5,6,wind_damp|collateral|joint|heat|throat,"Dispel Wind, free the collaterals, cool Blood and reduce swelling",Cold deficiency patterns; loose stool,derived
304,两头尖,Liǎng Tóu Jiān,Anemone Rhizome,两头尖,,,0.5,4:1,4,2,wind_damp|pain|cold,"Dispel Wind-Damp, disperse Cold and relieve pain",Pregnancy; mildly toxic — use only in prescribed dose,derived
305,凌霄花(美洲凌霄),Líng Xiāo Huā,Trumpet Creeper Flower,凌霄花,,美洲凌霄,2,1.5:1,1.5,3,blood_move|menstrual|skin|heat|women,"Invigorate Blood, break stasis, cool Blood and dispel Wind",Pregnancy; Qi and Blood deficiency,derived
306,老鹳草(野老鹳草),Lǎo Guàn Cǎo,Geranium,老鹳草,,野老鹳草,2.5,4:1,4,10,wind_damp|joint|collateral|diarrhoea,"Dispel Wind-Damp, free the collaterals, clear Heat and stop diarrhoea",Generally well tolerated; caution in pregnancy,derived
307,马鞭草,Mǎ Biān Cǎo,Verbena,马鞭草,,,1,5:1,5,5,blood_move|toxin|damp|menstrual|oedema,"Invigorate Blood, dispel stasis, resolve toxin, drain Damp and check malarial disorder",Pregnancy; Qi and Blood deficiency,derived
308,马勃(大马勃),Mǎ Bó,Puffball,马勃,,大马勃,0.67,7.5:1,7.5,5,throat|lung|bleeding|toxin|voice,"Clear the Lung, benefit the throat, resolve toxin and stop bleeding",Cough from Wind-Cold; Spleen Cold deficiency,derived
309,马齿苋,Mǎ Chǐ Xiàn,Purslane,马齿苋,,,2.5,4:1,4,10,heat|toxin|diarrhoea|bleeding|skin,"Clear Heat, resolve toxin, cool Blood, stop bleeding and stop dysentery",Pregnancy; Spleen deficiency with loose stool,derived
310,蜜马兜铃(北马兜铃),Mì Mǎ Dōu Líng,Honey-fried Aristolochia Fruit,马兜铃,蜜,北马兜铃,1.2,2.5:1,2.5,3,cough|lung|asthma|phlegm,"Clear the Lung, descend Qi, stop cough and calm wheezing. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",CONTAINS ARISTOLOCHIC ACID — nephrotoxic and carcinogenic; banned or restricted in many jurisdictions; verify Singapore HSA status before any use,derived
311,麻黄(草麻黄),Má Huáng,Ephedra,麻黄,,草麻黄,1,5:1,5,5,exterior|wind_cold|asthma|cough|oedema,"Release the exterior, disperse Cold, diffuse the Lung, calm wheezing and promote urination",RESTRICTED — check Singapore HSA status; hypertension; insomnia; heart disease; exterior deficiency with sweating; not with stimulants or MAOIs,derived
312,蜜麻黄(草麻黄),Mì Má Huáng,Honey-fried Ephedra,麻黄,蜜,草麻黄,1.79,2.8:1,2.8,5,exterior|wind_cold|asthma|cough|oedema|lung,"Release the exterior, disperse Cold, diffuse the Lung, calm wheezing and promote urination. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",RESTRICTED — check Singapore HSA status; hypertension; insomnia; heart disease; exterior deficiency with sweating; not with stimulants or MAOIs,derived
313,麻黄根(草麻黄),Má Huáng Gēn,Ephedra Root,麻黄根,,草麻黄,0.88,5.7:1,5.7,5,sweating|astringent|exterior,Stop sweating — the root has the opposite action to the stem,Exterior pattern still present — would trap the pathogen,derived
314,毛冬青,Máo Dōng Qīng,Ilex Pubescens Root,毛冬青,,,1.2,12.5:1,12.5,15,blood_move|heart|circulation|heat|toxin,"Invigorate Blood, free the collaterals, clear Heat and resolve toxin",Pregnancy; bleeding tendency; anticoagulant therapy,derived
315,毛麝香,Máo Shè Xiāng,Adenosma,毛麝香,,,1.54,6.5:1,6.5,10,wind_damp|trauma|pain|skin,"Dispel Wind-Damp, invigorate Blood, reduce swelling and relieve pain",Pregnancy; mainly topical,derived
316,牡蛎(近江牡蛎),Mǔ Lì,Oyster Shell,牡蛎,,近江牡蛎,0.8,12.5:1,12.5,10,sleep|anxiety|thyroid|sweating|liver,"Anchor Liver Yang, calm Shen, soften hardness",None significant,curated
317,煅牡蛎(近江牡蛎),Duàn Mǔ Lì,Calcined Oyster Shell,牡蛎,煅,近江牡蛎,0.8,12.5:1,12.5,10,sleep|anxiety|thyroid|sweating|liver|astringent,"Anchor Liver Yang, calm Shen, soften hardness. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.",None significant,curated+processed
318,麦冬(川麦冬),Mài Dōng,Ophiopogon,麦冬,,川麦冬,2.73,1.1:1,1.1,3,yin_tonic|lung|heart|stomach|heat|aging,"Nourish Yin, moisten Lung, clear Heart Heat, generate fluids",Spleen deficiency with Cold-Damp,curated
319,麦芽,Mài Yá,Sprouted Barley,麦芽,,,1,10:1,10,10,digestion|spleen|appetite|liver|lactation,"Aid digestion of starch, strengthen the Spleen, soothe the Liver and reduce lactation at high dose",Breastfeeding women wishing to maintain supply — high doses suppress lactation,derived
320,炒麦芽,Chǎo Mài Yá,Dry-fried Sprouted Barley,麦芽,炒,,1,10:1,10,10,digestion|spleen|appetite|liver|lactation,"Aid digestion of starch, strengthen the Spleen, soothe the Liver and reduce lactation at high dose. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Breastfeeding women wishing to maintain supply — high doses suppress lactation,derived
321,焦麦芽,Jiāo Mài Yá,Scorch-fried Sprouted Barley,麦芽,焦,,2.08,4.8:1,4.8,10,digestion|spleen|appetite|liver|lactation|diarrhoea,"Aid digestion of starch, strengthen the Spleen, soothe the Liver and reduce lactation at high dose. Scorch-frying markedly strengthens the food-dispersing and diarrhoea-checking action, and adds a mild astringent, bleeding-stopping quality.",Breastfeeding women wishing to maintain supply — high doses suppress lactation,derived
322,蔓荆子(单叶蔓荆),Màn Jīng Zǐ,Vitex Fruit,蔓荆子,,单叶蔓荆,0.91,5.5:1,5.5,5,headache|wind_heat|eye|liver,"Disperse Wind-Heat, clear the head and eyes and relieve headache",Blood deficiency headache; Qi deficiency; Stomach deficiency,derived
323,炒蔓荆子(单叶蔓荆),Chǎo Màn Jīng Zǐ,Dry-fried Vitex Fruit,蔓荆子,炒,单叶蔓荆,0.81,6.2:1,6.2,5,headache|wind_heat|eye|liver|spleen,"Disperse Wind-Heat, clear the head and eyes and relieve headache. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Blood deficiency headache; Qi deficiency; Stomach deficiency,derived
324,猫爪草,Māo Zhuǎ Cǎo,Ranunculus Ternatus,猫爪草,,,2.27,2.2:1,2.2,5,thyroid|nodule|lymph|phlegm,"Resolve Phlegm, dissipate nodules and masses",None significant,curated
325,玫瑰花,Méi Guī Huā,Rose Flower,玫瑰花,,,0.81,3.7:1,3.7,3,stress|liver_qi|women|menstrual|mood,"Move Liver Qi, regulate Blood, uplift mood",Pregnancy (large doses),curated
326,密蒙花,Mì Méng Huā,Buddleia Flower,密蒙花,,,1.43,3.5:1,3.5,5,eye|liver|heat|yin_tonic,"Clear the Liver, drain Heat, nourish the Liver and brighten the eyes",Spleen Cold deficiency,derived
327,墨旱莲,Mò Hàn Lián,Eclipta,墨旱莲,,,1.33,4.5:1,4.5,6,yin_tonic|kidney|liver|bleeding|hair|aging,"Nourish Liver and Kidney Yin, cool Blood and stop bleeding, blacken the hair",Spleen and Kidney Yang deficiency with loose stool,derived
328,牡丹皮,Mǔ Dān Pí,Moutan Bark,牡丹皮,,,2,3:1,3,6,blood_cooling|women|heat|liver|blood_stasis,"Clear Heat, cool Blood, invigorate Blood, clear Liver Fire","Pregnancy, excessive menstruation",curated
329,煅珍珠母(三角帆蚌),Duàn Zhēn Zhū Mǔ,Calcined Mother of Pearl,珍珠母,煅,三角帆蚌,0.67,15:1,15,10,liver|sleep|anxiety|eyes|liver_yang|astringent,"Calm Liver Yang, clear Heat, calm Shen, improve vision. Calcining makes a mineral or shell friable and readily decocted, strengthening the astringent, acid-restraining and anchoring action.",Spleen deficiency cold,curated+processed
330,木瓜,Mù Guā,Chaenomeles Fruit,木瓜,,,3.33,1.8:1,1.8,6,wind_damp|sinew|cramp|stomach|damp,"Relax the sinews, free the collaterals, transform Damp and harmonise the Stomach",Excess gastric acid; frequent urination; large doses harm bone and teeth,derived
331,木蝴蝶,Mù Hú Dié,Oroxylum Seed,木蝴蝶,,,0.55,5.5:1,5.5,3,throat|lung|cough|liver|stomach,"Clear the Lung, benefit the throat, soothe the Liver and harmonise the Stomach",Spleen Cold deficiency with loose stool,derived
332,木棉花,Mù Mián Huā,Kapok Flower,木棉花,,,2.25,4:1,4,9,heat|damp|diarrhoea|gut,"Clear Heat, drain Damp and stop diarrhoea",Spleen Cold deficiency,derived
333,木香,Mù Xiāng,Costus Root,木香,,,2.31,1.3:1,1.3,3,gut|qi_stagnation|pain|spleen|liver,"Move Qi, stop pain, strengthen Spleen, prevent Damp stagnation",Yin deficiency with Heat,curated
334,木贼,Mù Zéi,Equisetum,木贼,,,0.91,5.5:1,5.5,5,eye|wind_heat|bleeding|liver,"Disperse Wind-Heat, remove screens and brighten the eyes, stop bleeding",Qi and Blood deficiency; Yin deficiency with Heat,derived
335,醋没药(天然没药),Cù Mò Yào,Vinegar-processed Myrrh,没药,醋,天然没药,1.07,2.8:1,2.8,3,pain|blood_move|trauma|wound|liver,"Invigorate Blood, dispel stasis, reduce swelling and relieve pain. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; weak Spleen and Stomach — irritating; no stasis present,derived
336,绵萆薢(绵萆薢),Mián Bì Xiè,Dioscorea Septemloba,绵萆薢,,绵萆薢,2.33,4.3:1,4.3,10,damp|urinary|joint|skin|turbid_urine,"Separate the clear from the turbid, drain Damp and dispel Wind-Damp",Kidney Yin deficiency; frequent urination from deficiency,derived
337,绵马贯众,Mián Mǎ Guàn Zhòng,Dryopteris Rhizome,绵马贯众,,,0.6,5:1,5,3,toxin|parasite|bleeding|antiviral,"Clear Heat, resolve toxin, kill parasites and stop bleeding",Pregnancy; toxic — dose-limited; Spleen Cold deficiency,derived
338,木芙蓉叶,Mù Fú Róng Yè,Hibiscus Leaf,木芙蓉叶,,,1,5:1,5,5,heat|toxin|skin|abscess,"Clear Heat, cool Blood, resolve toxin and reduce swelling",Spleen Cold deficiency; mainly topical,derived
339,南沙参(轮叶沙参),Nán Shā Shēn,Adenophora Root,南沙参,,轮叶沙参,2.5,2:1,2,5,yin_tonic|lung|stomach|cough|dryness,"Nourish Lung Yin, clear Lung Heat, benefit Stomach Yin and generate fluids",Cough from Wind-Cold; Spleen Cold with loose stool; incompatible with 藜芦,derived
340,南杏仁,Nán Xìng Rén,Sweet Apricot Kernel,南杏仁,,,0.83,6:1,6,5,cough|lung|constipation|dryness,"Moisten the Lung, stop cough and moisten the intestines",Loose stool; milder and less toxic than 苦杏仁 but still dose-limited,derived
341,牛蒡子,Niú Bàng Zǐ,Burdock Fruit,牛蒡子,,,1.2,5:1,5,6,wind_heat|throat|rash|toxin|skin,"Disperse Wind-Heat, vent rashes, benefit the throat and resolve toxin",Spleen deficiency with loose stool — it is cold and moistening,derived
342,炒牛蒡子,Chǎo Niú Bàng Zǐ,Dry-fried Burdock Fruit,牛蒡子,炒,,1.2,5:1,5,6,wind_heat|throat|rash|toxin|skin|spleen,"Disperse Wind-Heat, vent rashes, benefit the throat and resolve toxin. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Spleen deficiency with loose stool — it is cold and moistening,derived
343,牛大力,Niú Dà Lì,Millettia Root,牛大力,,,1.67,6:1,6,10,lung|spleen|qi_tonic|sinew|fatigue,"Supplement the Lung, strengthen the Spleen, moisten dryness and strengthen the sinews",Generally well tolerated,derived
344,女贞子,Nǚ Zhēn Zǐ,Ligustrum Fruit,女贞子,,,1.82,3.3:1,3.3,6,kidney|liver|yin_tonic|aging|hair|eyes,"Tonify Liver and Kidney Yin, darken hair, brighten eyes","Spleen-Stomach deficiency-cold, diarrhea",curated
345,酒女贞子,Jiǔ Nǚ Zhēn Zǐ,Wine-processed Ligustrum Fruit,女贞子,酒,,2.31,2.6:1,2.6,6,kidney|liver|yin_tonic|aging|hair|eyes|blood_move,"Tonify Liver and Kidney Yin, darken hair, brighten eyes. Wine-processing warms and mobilises, carrying the action upward and enhancing Blood-moving and channel-freeing effects.","Spleen-Stomach deficiency-cold, diarrhea",curated+processed
346,牛膝,Niú Xī,Achyranthes Root,牛膝,,,3.85,1.3:1,1.3,5,blood_move|kidney|back_pain|menstrual|hypertension,"Invigorate Blood, free menstruation, supplement Liver and Kidney, strengthen the lumbus and guide Fire downward",Pregnancy; heavy menstruation; loose stool from Spleen deficiency,derived
347,糯稻根,Nuò Dào Gēn,Glutinous Rice Root,糯稻根,,,0.75,20:1,20,15,sweating|stomach|fever|yin_tonic,"Stop sweating, nourish the Stomach, clear deficiency Heat",Generally well tolerated,derived
348,藕节,Ǒu Jié,Lotus Node,藕节,,,0.91,11:1,11,10,bleeding|blood_move|lung|women,Stop bleeding and dispel stasis without leaving stagnation,Generally well tolerated,derived
349,藕节炭,Ǒu Jié Tàn,Charred Lotus Node,藕节炭,,,2.22,4.5:1,4.5,10,bleeding|astringent,Charring strengthens the astringent bleeding-stopping action,Bleeding due to marked stasis,derived
350,佩兰,Pèi Lán,Eupatorium,佩兰,,,1.25,4:1,4,5,damp|spleen|summerheat|appetite,"Transform Damp, awaken the Spleen and release summerheat",Yin deficiency; Qi deficiency without Damp,derived
351,枇杷叶,Pí Pá Yè,Loquat Leaf,枇杷叶,,,1.5,4:1,4,6,cough|lung|heat|nausea|phlegm,"Clear the Lung, descend rebellious Qi, stop cough and harmonise the Stomach",Cough from Cold; Stomach Cold vomiting; hairs must be removed,derived
352,蜜枇杷叶,Mì Pí Pá Yè,Honey-fried Loquat Leaf,枇杷叶,蜜,,2.4,2.5:1,2.5,6,cough|lung|heat|nausea|phlegm,"Clear the Lung, descend rebellious Qi, stop cough and harmonise the Stomach. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Cough from Cold; Stomach Cold vomiting; hairs must be removed,derived
353,蒲公英(碱地蒲公英),Pú Gōng Yīng,Dandelion,蒲公英,,碱地蒲公英,2.7,3.7:1,3.7,10,heat|toxin|breast|liver|urinary,"Clear Heat, resolve toxin, dissipate nodules, drain Damp and free lactation",Spleen Cold deficiency; large doses may cause loose stool,derived
354,蒲黄(水烛香蒲),Pú Huáng,Typha Pollen,蒲黄,,水烛香蒲,1,5:1,5,5,bleeding|blood_move|menstrual|pain|women,"Stop bleeding, invigorate Blood and dispel stasis",Pregnancy; no stasis present; must be bagged when decocted,derived
355,蒲黄炭(水烛香蒲),Pú Huáng Tàn,Charred Typha Pollen,蒲黄炭,,水烛香蒲,0.68,7.3:1,7.3,5,bleeding|astringent,Charring strengthens the bleeding-stopping action and reduces Blood-moving effect,Bleeding due to stasis,derived
356,青风藤(青藤),Qīng Fēng Téng,Sinomenium Stem,青风藤,,青藤,1.07,5.6:1,5.6,6,wind_damp|joint|collateral|pain|oedema,"Dispel Wind-Damp, free the collaterals and promote urination",May cause rash and itching; use with care in allergy-prone patients,derived
357,青天葵,Qīng Tiān Kuí,Nervilia Leaf,青天葵,,,1.25,4:1,4,5,lung|heat|toxin|cough|throat,"Clear the Lung, resolve toxin, dissipate stasis and reduce swelling",Spleen Cold deficiency,derived
358,茜草,Qiàn Cǎo,Rubia Root,茜草,,,1,5:1,5,5,bleeding|blood_move|menstrual|heat|women,"Cool Blood, stop bleeding, invigorate Blood and dispel stasis",Spleen and Stomach deficiency Cold; no stasis or Heat present,derived
359,前胡,Qián Hú,Peucedanum Root,前胡,,,1.43,3.5:1,3.5,5,cough|phlegm|lung|wind_heat,"Descend Qi, transform phlegm and disperse Wind-Heat",Cough from Yin deficiency or dryness; Cold patterns,derived
360,芡实,Qiàn Shí,Gordon Euryale Seed,芡实,,,0.9,10:1,10,9,gut|kidney|spleen|damp|jing,"Tonify Spleen and Kidney, resolve Damp, astringe Jing","Food stagnation, constipation",curated
361,麸炒芡实,Fū Chǎo Qiàn Shí,Bran-fried Gordon Euryale Seed,芡实,麸炒,,1.34,6.7:1,6.7,9,gut|kidney|spleen|damp|jing|stomach,"Tonify Spleen and Kidney, resolve Damp, astringe Jing. Bran-frying moderates harshness and directs the action to the Spleen and Stomach, strengthening the tonifying effect while reducing irritation to the gut.","Food stagnation, constipation",curated+processed
362,千年健,Qiān Nián Jiàn,Homalomena Rhizome,千年健,,,1,5:1,5,5,wind_damp|bone|sinew|aging|pain,"Dispel Wind-Damp, strengthen sinew and bone",Yin deficiency with Heat,derived
363,千里光,Qiān Lǐ Guāng,Climbing Groundsel,千里光,,,2,5:1,5,10,heat|toxin|skin|eye|damp,"Clear Heat, resolve toxin, cool Blood and brighten the eyes","Spleen Cold deficiency; contains pyrrolizidine alkaloids — avoid prolonged use, hepatotoxic risk",derived
364,千斤拔,Qiān Jīn Bá,Flemingia Root,千斤拔,,,0.53,9.5:1,9.5,5,wind_damp|kidney|back_pain|fatigue,"Dispel Wind-Damp, strengthen the lumbus and knees, invigorate Blood and relieve pain",Generally well tolerated; caution in pregnancy,derived
365,牵牛子(裂叶牵牛),Qiān Niú Zǐ,Pharbitis Seed,牵牛子,,裂叶牵牛,0.63,8:1,8,5,constipation|oedema|parasite|damp,"Drive out water, drain downward, disperse accumulation and expel parasites",Pregnancy; weak constitution; toxic at high dose; incompatible with 巴豆,derived
366,炒牵牛子(裂叶牵牛),Chǎo Qiān Niú Zǐ,Dry-fried Pharbitis Seed,牵牛子,炒,裂叶牵牛,0.77,6.5:1,6.5,5,constipation|oedema|parasite|damp|spleen,"Drive out water, drain downward, disperse accumulation and expel parasites. Dry-frying warms the herb, moderates cold or harsh properties and improves tolerance by the Spleen and Stomach.",Pregnancy; weak constitution; toxic at high dose; incompatible with 巴豆,derived
367,秦艽(粗茎秦艽),Qín Jiāo,Gentiana Macrophylla Root,秦艽,,粗茎秦艽,2.78,1.8:1,1.8,5,wind_damp|joint|fever|sinew|jaundice,"Dispel Wind-Damp, relax the sinews, clear deficiency Heat and free the collaterals",Loose stool; chronic pain with Blood deficiency and no Damp,derived
368,秦皮(尖叶白蜡树),Qín Pí,Fraxinus Bark,秦皮,,尖叶白蜡树,0.67,9:1,9,6,heat|damp|diarrhoea|eye|discharge,"Clear Heat, dry Damp, astringe, stop dysentery and brighten the eyes",Spleen and Stomach deficiency Cold,derived
369,青蒿,Qīng Hāo,Sweet Wormwood,青蒿,,,1.09,5.5:1,5.5,6,fever|heat|summerheat|malaria|yin_tonic,"Clear deficiency Heat, cool Blood, release summerheat and check malarial disorder",Spleen and Stomach deficiency Cold; add late — heat destroys the active constituent,derived
370,青皮(个青皮),Qīng Pí,Immature Tangerine Peel,青皮,,个青皮,1.43,3.5:1,3.5,5,qi_move|liver|breast|digestion|pain,"Soothe the Liver, break Qi stagnation, dissipate clumps and aid digestion",Qi deficiency; profuse sweating; stronger and more dispersing than 陈皮,derived
371,青皮(四花青皮),Qīng Pí,Immature Tangerine Peel,青皮,,四花青皮,1.43,3.5:1,3.5,5,qi_move|liver|breast|digestion|pain,"Soothe the Liver, break Qi stagnation, dissipate clumps and aid digestion",Qi deficiency; profuse sweating; stronger and more dispersing than 陈皮,derived
372,醋青皮(四花青皮),Cù Qīng Pí,Vinegar-processed Immature Tangerine Peel,青皮,醋,四花青皮,1.43,3.5:1,3.5,5,qi_move|liver|breast|digestion|pain|blood_move,"Soothe the Liver, break Qi stagnation, dissipate clumps and aid digestion. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Qi deficiency; profuse sweating; stronger and more dispersing than 陈皮,derived
373,醋青皮(个青皮),Cù Qīng Pí,Vinegar-processed Immature Tangerine Peel,青皮,醋,个青皮,1.43,3.5:1,3.5,5,qi_move|liver|breast|digestion|pain|blood_move,"Soothe the Liver, break Qi stagnation, dissipate clumps and aid digestion. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Qi deficiency; profuse sweating; stronger and more dispersing than 陈皮,derived
374,青葙子,Qīng Xiāng Zǐ,Celosia Seed,青葙子,,,0.83,6:1,6,5,eye|liver|heat|hypertension,"Clear the Liver, drain Fire, brighten the eyes and remove screens",Glaucoma — dilates the pupil; Liver and Kidney deficiency,derived
375,瞿麦(石竹),Qú Mài,Dianthus,瞿麦,,石竹,2,5:1,5,10,urinary|damp|heat|menstrual|stone,"Promote urination, free painful urination, invigorate Blood and free menstruation",Pregnancy; Spleen and Kidney deficiency,derived
376,全蝎,Quán Xiē,Scorpion,全蝎,,,0.88,3.4:1,3.4,3,wind|spasm|pain|collateral|nodule,"Extinguish Wind, stop spasm, free the collaterals, relieve pain and resolve toxin",Pregnancy; Blood deficiency Wind; toxic — strict dose control,derived
377,青果,Qīng Guǒ,Chinese Olive,青果,,,1.43,3.5:1,3.5,5,throat|heat|toxin|thirst|voice,"Clear Heat, resolve toxin, benefit the throat and generate fluids",Spleen Cold deficiency,derived
378,拳参,Quán Shēn,Bistort Rhizome,拳参,,,1.25,4:1,4,5,heat|toxin|bleeding|diarrhoea|spasm,"Clear Heat, resolve toxin, cool Blood, stop bleeding and settle spasm",Cold deficiency patterns; no Heat or toxin present,derived
379,茜草炭,Qiàn Cǎo Tàn,Charred Rubia,茜草炭,,,0.65,7.7:1,7.7,5,bleeding|astringent,Charring strengthens the astringent bleeding-stopping action,Bleeding due to stasis,derived
380,羌活(羌活),Qiāng Huó,Notopterygium Root,羌活,,羌活,1.43,3.5:1,3.5,5,wind_damp|pain|headache|shoulder|joint,"Dispel Wind-Damp, disperse Cold and relieve pain — especially of the upper body",Blood deficiency pain; Yin deficiency; large doses cause nausea,derived
381,忍冬藤,Rěn Dōng Téng,Lonicera Stem,忍冬藤,,,1.54,6.5:1,6.5,10,heat|toxin|wind_damp|joint|collateral,"Clear Heat, resolve toxin, dispel Wind and free the collaterals",Spleen and Stomach Cold deficiency,derived
382,人参叶,Rén Shēn Yè,Ginseng Leaf,人参叶,,,2.38,2.1:1,2.1,5,qi_tonic|heat|thirst|summerheat,"Clear Heat, generate fluids, supplement Qi and relieve summerheat",Cold patterns of Spleen and Stomach,derived
383,肉桂,Ròu Guì,Cinnamon Bark,肉桂,,,0.55,5.5:1,5.5,3,yang_tonic|cold|kidney|pain|circulation,"Supplement Fire, assist Yang, disperse Cold, relieve pain and guide Fire back to its source",Pregnancy; Yin deficiency with Heat; bleeding; incompatible with 赤石脂; add late,derived
384,乳香(埃塞俄比亚乳香),Rǔ Xiāng,Frankincense,乳香,,埃塞俄比亚乳香,2.31,1.3:1,1.3,3,pain|blood_move|trauma|wound,"Move Blood, relieve pain, reduce swelling and generate flesh",Pregnancy; weak Spleen and Stomach — irritating to the gut; no stasis present,derived
385,醋乳香(埃塞俄比亚乳香),Cù Rǔ Xiāng,Vinegar-processed Frankincense,乳香,醋,埃塞俄比亚乳香,2.31,1.3:1,1.3,3,pain|blood_move|trauma|wound|liver,"Move Blood, relieve pain, reduce swelling and generate flesh. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; weak Spleen and Stomach — irritating to the gut; no stasis present,derived
386,人参,Rén Shēn,Ginseng Root,人参,,,2,2.5:1,2.5,5,qi_tonic|spleen|lung|shen|fatigue|aging,"Powerfully tonify Original Qi, strengthen Spleen and Lung, generate fluids and quiet the Shen",Excess Heat patterns; hypertension uncontrolled; traditionally incompatible with 藜芦 and 五灵脂,derived
387,三棱,Sān Léng,Sparganium Rhizome,三棱,,,0.56,9:1,9,5,blood_move|nodule|pain|abdominal_mass,"Break Blood stasis, move Qi, dissipate accumulation and relieve pain",Pregnancy; heavy menstruation; Qi and Blood deficiency; peptic ulcer,derived
388,三七粉,Sān Qī Fěn,Notoginseng Powder,三七粉,,,0.67,1.5:1,1.5,1,bleeding|blood_move|pain|trauma|heart,"Stop bleeding without causing stasis, dispel Blood stasis, reduce swelling and relieve pain",Pregnancy; Blood deficiency without stasis,derived
389,醋三棱,Cù Sān Léng,Vinegar-processed Sparganium Rhizome,三棱,醋,,0.56,9:1,9,5,blood_move|nodule|pain|abdominal_mass|liver,"Break Blood stasis, move Qi, dissipate accumulation and relieve pain. Vinegar directs the action to the Liver and to the Blood level, strengthening Qi-moving, Blood-stasis-dispelling and pain-relieving effects.",Pregnancy; heavy menstruation; Qi and Blood deficiency; peptic ulcer,derived
390,桑白皮,Sāng Bái Pí,Mulberry Root Bark,桑白皮,,,1.33,4.5:1,4.5,6,lung|cough|asthma|oedema|heat,"Drain Lung Heat, calm wheezing, promote urination and reduce swelling",Lung Cold cough; frequent clear urination,derived
391,蜜桑白皮,Mì Sāng Bái Pí,Honey-fried Mulberry Root Bark,桑白皮,蜜,,2.4,2.5:1,2.5,6,lung|cough|asthma|oedema|heat,"Drain Lung Heat, calm wheezing, promote urination and reduce swelling. Honey-frying moistens the Lung and moderates harshness, strengthening the cough-stopping and Lung-moistening action.",Lung Cold cough; frequent clear urination,derived
392,桑寄生,Sāng Jì Shēng,Loranthus (Mulberry Mistletoe),桑寄生,,,1.5,6:1,6,9,kidney|liver|bone|joint|women|blood_pressure,"Tonify Liver and Kidney, strengthen sinews and bones, calm fetus, lower BP",None significant,curated
393,桑椹,Sāng Shèn,Mulberry Fruit,桑椹,,,2.78,1.8:1,1.8,5,blood_tonic|kidney|liver|yin_tonic|hair|aging,"Nourish Blood and Yin, tonify Kidney and Liver, promote fluid generation",Spleen deficiency diarrhea,curated
394,桑螵蛸(大刀螂),Sāng Piāo Xiāo,Mantis Egg Case,桑螵蛸,,大刀螂,0.55,11:1,11,6,kidney|urinary|essence|yang_tonic|enuresis,"Supplement the Kidney, assist Yang, secure Essence and reduce urination",Yin deficiency with Heat; Damp-Heat in the bladder,derived
395,胖大海,Pàng Dà Hǎi,Sterculia Seed,胖大海,,,0.75,4:1,4,3,throat|lung|cough|constipation|voice,"Clear the Lung, benefit the throat, free the stool and moisten dryness",Spleen Cold with loose stool; not for prolonged daily use,derived
396,桑叶,Sāng Yè,Mulberry Leaf,桑叶,,,1.25,4:1,4,5,wind_heat|lung|eye|liver|cough,"Disperse Wind-Heat, clear the Lung, moisten dryness, calm the Liver and brighten the eyes",Wind-Cold patterns; Lung Cold cough,derived
397,桑枝,Sāng Zhī,Mulberry Twig,桑枝,,,0.9,10:1,10,9,wind_damp|joint|collateral|pain|shoulder,"Dispel Wind-Damp, free the collaterals and benefit the joints — especially of the upper limb",Generally well tolerated; caution in Cold deficiency,derived
398,砂仁(阳春砂),Shā Rén,Cardamom Fruit,砂仁,,阳春砂,0.67,4.5:1,4.5,3,gut|spleen|damp|nausea|qi_stagnation,"Transform Damp, move Qi, warm Spleen, stop vomiting","Yin deficiency heat, Fire patterns",curated
399,沙苑子,Shā Yuàn Zǐ,Astragalus Complanatus Seed,沙苑子,,,0.83,6:1,6,5,kidney|essence|eye|liver|yang_tonic,"Supplement the Kidney, secure Essence, nourish the Liver and brighten the eyes",Yin deficiency with Fire; painful urinary dribbling,derived
